Index,Year,Code,Country,Total,Female total,Male total
261,2015,POL,Poland,17368,8638,8730
262,2015,PRT,Portugal,699,350,349
263,2015,ROU,Romania,3228,935,2293
264,2015,RUS,Russian Federation,418407,0,418407
265,2015,SAU,Saudi Arabia,155,72,83
266,2015,SRB,Serbia and Kosovo: S/RES/1244 (1999),258131,130659,127472
267,2015,SVK,Slovakia,2601,873,1728
268,2015,SVN,Slovenia,382,98,284
269,2015,SYR,Syrian Arab Rep.,29918,15470,14448
270,2015,TUN,Tunisia,743,273,470
271,2015,TUR,Turkey,249864,96891,152973
272,2015,UKR,Ukraine,1609763,1042908,566855
273,2016,AFG,Afghanistan,1971666,964777,1006889
274,2016,ALB,Albania,7812,3895,3917
275,2016,ARM,Armenia,3770,1931,1839
276,2016,AZE,Azerbaijan,1277,522,755
277,2016,BEL,Belgium,44787,17157,27630
278,2016,BIH,Bosnia and Herzegovina,156126,76939,79187
279,2016,BLR,Belarus,518,165,353
280,2016,CHE,Switzerland,113440,44989,68451
281,2016,DEU,Germany,1268817,421945,846872
282,2016,DNK,Denmark,5681,1734,3947
283,2016,DZA,Algeria,95919,46234,49685
284,2016,EGY,Egypt,263386,127083,136303
285,2016,FRA,France,228236,94616,133620
286,2016,GEO,Georgia,276775,147520,129255
287,2016,HRV,Croatia,3679,1682,1997
288,2016,IRL,Ireland,9741,3625,6116
289,2016,IRN,Iran (Islamic Rep. of),28889,14170,14719
290,2016,IRQ,Iraq,276494,128337,148158
291,2016,JOR,Jordan,720785,362722,358063
292,2016,KWT,Kuwait,1652,807,845
293,2016,LBN,Lebanon,1031255,538860,492395
294,2016,LBY,Libya,38532,16001,22531
295,2016,LUX,Luxembourg,4216,1471,2745
296,2016,MAR,Morocco,6708,2547,4161
297,2016,MDA,Rep. of Moldova,5274,2975,2299
298,2016,MKD,North Macedonia,1248,607,641
299,2016,MNE,Montenegro,15731,7932,7799
300,2016,POL,Poland,1946,957,989
301,2016,ROU,Romania,3201,1073,2128
302,2016,SAU,Saudi Arabia,189,82,107
