Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 — 4,Female 5 — 11,Female 12 — 17,Female 5 — 17,Female 18 — 59,Female 60,f_other,Female total,Male 0 — 4,Male 5 — 11,Male 12 — 17,Male 5 — 17,Male 18 — 59,Male 60,Male total,m_other,Total
2019,Syrian Arab Rep.,SYR,Algeria,DZA,448,658,335,,1431,65,,2937,525,712,396,,3118,69,4820,,7757
2019,Syrian Arab Rep.,SYR,Egypt,EGY,6552,11442,7757,,33131,3358,,62240,7010,11871,8361,,36372,3356,66970,,129210
2019,Syrian Arab Rep.,SYR,Argentina,ARG,0,16,11,,116,22,,165,0,27,25,,197,30,279,,444
2019,Syrian Arab Rep.,SYR,Armenia,ARM,25,40,32,,193,47,,337,23,41,53,,248,44,409,,746
2019,Syrian Arab Rep.,SYR,Austria,AUT,0,0,0,,0,0,,557,0,0,0,,0,0,747,,1304
2019,Syrian Arab Rep.,SYR,Azerbaijan,AZE,0,5,0,,5,0,,10,0,0,0,,10,0,10,,20
2019,Syrian Arab Rep.,SYR,Benin,BEN,0,0,0,,0,0,,0,0,0,6,,19,0,25,,25
2019,Syrian Arab Rep.,SYR,Burkina Faso,BFA,0,0,0,,5,0,,5,0,0,0,,0,0,0,,5
2019,Syrian Arab Rep.,SYR,Bosnia and Herzegovina,BIH,7,0,5,,15,0,,37,6,0,0,,34,0,178,,215
2019,Syrian Arab Rep.,SYR,Chad,TCD,6,5,0,,8,0,,19,5,0,0,,21,0,26,,45
2019,Syrian Arab Rep.,SYR,China,CHN,6,5,0,,8,0,,19,5,0,0,,39,0,44,,63
2019,Syrian Arab Rep.,SYR,Chile,CHL,0,0,0,,5,0,,5,0,0,0,,5,0,5,,10
2019,Syrian Arab Rep.,SYR,Cameroon,CMR,0,0,5,,5,0,,10,0,0,0,,19,0,19,,29
2019,Syrian Arab Rep.,SYR,Congo,COG,0,0,0,,0,0,,0,0,0,5,,8,0,13,,13
2019,Syrian Arab Rep.,SYR,Dem. Rep. of the Congo,COD,0,0,0,,10,0,,10,0,0,0,,21,0,21,,31
2019,Syrian Arab Rep.,SYR,Colombia,COL,0,0,0,,0,0,,0,0,0,0,,18,0,18,,18
2019,Syrian Arab Rep.,SYR,Cuba,CUB,0,0,0,,9,0,,9,0,5,0,,26,0,31,,40
2019,Syrian Arab Rep.,SYR,Djibouti,DJI,0,0,0,,0,0,,0,0,0,0,,10,0,10,,10
2019,Syrian Arab Rep.,SYR,Ethiopia,ETH,21,34,21,,92,5,,173,39,44,23,,125,6,237,,410
2019,Syrian Arab Rep.,SYR,Finland,FIN,0,0,0,,0,0,,26,0,0,0,,0,0,51,,77
2019,Syrian Arab Rep.,SYR,France,FRA,0,0,0,,0,0,,8347,0,0,0,,0,0,9897,,18244
2019,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,,0,0,,339,0,0,0,,0,0,889,,1228
2019,Syrian Arab Rep.,SYR,Georgia,GEO,0,16,23,,113,25,,177,6,29,17,,195,34,281,,458
2019,Syrian Arab Rep.,SYR,Germany,DEU,33515,40141,24860,,121530,6532,,226578,35519,44896,32182,,267583,7340,387520,,614098
2019,Syrian Arab Rep.,SYR,Ghana,GHA,19,29,5,,47,0,,100,14,25,10,,131,0,180,,280
2019,Syrian Arab Rep.,SYR,Greece,GRC,0,0,0,,0,0,,6966,0,0,0,,0,0,9199,,16165
2019,Syrian Arab Rep.,SYR,Guinea,GIN,0,0,6,,8,0,,14,0,0,0,,0,0,0,,14
2019,Syrian Arab Rep.,SYR,Croatia,HRV,18,45,39,,108,5,,215,30,46,51,,213,0,340,,555
2019,Syrian Arab Rep.,SYR,Hungary,HUN,0,0,0,,0,0,,0,0,0,0,,0,0,5,,5
2019,Syrian Arab Rep.,SYR,Cote d'Ivoire,CIV,8,15,0,,29,0,,52,8,12,7,,58,6,91,,143
2019,Syrian Arab Rep.,SYR,India,IND,11,5,5,,20,0,,41,5,6,0,,47,0,58,,99
2019,Syrian Arab Rep.,SYR,Indonesia,IDN,0,5,0,,5,0,,10,0,0,0,,32,0,32,,42
2019,Syrian Arab Rep.,SYR,Ireland,IRL,78,85,56,,284,20,,523,56,113,59,,467,14,709,,1232
2019,Syrian Arab Rep.,SYR,Iraq,IRQ,21172,20874,11408,,60515,4142,,118111,22590,21670,13614,,66419,3406,127699,,245810
2019,Syrian Arab Rep.,SYR,Jordan,JOR,47559,69461,44096,,151737,14723,,327576,50292,73253,46332,,146766,10473,327116,,654692
2019,Syrian Arab Rep.,SYR,Kazakhstan,KAZ,0,0,0,,0,0,,0,0,5,0,,28,0,33,,33
2019,Syrian Arab Rep.,SYR,Kenya,KEN,0,0,0,,0,0,,0,0,0,0,,10,0,10,,10
2019,Syrian Arab Rep.,SYR,Kyrgyzstan,KGZ,5,5,5,,23,0,,38,0,7,0,,46,0,53,,91
2019,Syrian Arab Rep.,SYR,Kuwait,KWT,10,14,18,,52,10,,104,0,22,23,,47,10,102,,206
2019,Syrian Arab Rep.,SYR,Liberia,LBR,0,0,0,,0,0,,0,0,0,0,,11,0,11,,11
2019,Syrian Arab Rep.,SYR,Libya,LBY,783,1877,1035,,4068,251,,8014,849,1923,1110,,5127,327,9336,,17350
2019,Syrian Arab Rep.,SYR,Lebanon,LBN,67548,115702,67149,,212225,11724,,475449,71072,120151,70295,,165521,9115,437069,,912518
2019,Syrian Arab Rep.,SYR,Sri Lanka,LKA,0,0,0,,5,0,,5,0,0,0,,0,0,0,,5
